month	prcp	t2m	u10m	v10m	q2m	mswdnb
1	0.02000	-0.06400	-0.03514	-0.05875	-0.00002	-0.41437
2	0.01075	-0.05936	-0.03938	-0.06494	-0.00003	-1.18485
3	0.02206	-0.05679	-0.02743	-0.04309	-0.00001	-1.17950
4	-0.05450	0.00270	-0.02532	-0.03822	-0.00002	-0.88407
5	0.06488	0.00371	-0.02581	-0.03592	-0.00002	-0.32594
6	0.08350	-0.01946	-0.01655	-0.03614	-0.00004	-0.13585
7	0.04644	-0.03946	-0.03168	-0.05674	-0.00002	-0.21904
8	0.03844	-0.05746	-0.02063	-0.03811	-0.00003	0.40376
9	-0.05114	-0.06228	-0.01780	-0.02799	-0.00001	0.41335
10	-0.00840	-0.04204	-0.02223	-0.04142	-0.00002	-0.13486
11	0.00818	-0.08514	-0.03731	-0.07042	-0.00003	-0.88614
12	-0.02815	-0.08803	-0.02975	-0.04998	-0.00003	0.07752
